cvegeo,region,is_bajio
01001,Centro-Norte,True
01002,Centro-Norte,True
01003,Centro-Norte,True
01004,Centro-Norte,True
01005,Centro-Norte,True
01006,Centro-Norte,True
01007,Centro-Norte,True
01008,Centro-Norte,True
01009,Centro-Norte,True
01010,Centro-Norte,True
01011,Centro-Norte,True
02001,Norte,False
02002,Norte,False
02003,Norte,False
02004,Norte,False
02005,Norte,False
02006,Norte,False
02007,Norte,False
03001,Norte-Occidente,False
03002,Norte-Occidente,False
03003,Norte-Occidente,False
03008,Norte-Occidente,False
03009,Norte-Occidente,False
04001,Sur,False
04002,Sur,False
04003,Sur,False
04004,Sur,False
04005,Sur,False
04006,Sur,False
04007,Sur,False
04008,Sur,False
04009,Sur,False
04010,Sur,False
04011,Sur,False
04012,Sur,False
04013,Sur,False
05001,Norte,False
05002,Norte,False
05003,Norte,False
05004,Norte,False
05005,Norte,False
05006,Norte,False
05007,Norte,False
05008,Norte,False
05009,Norte,False
05010,Norte,False
05011,Norte,False
05012,Norte,False
05013,Norte,False
05014,Norte,False
05015,Norte,False
05016,Norte,False
05017,Norte,False
05018,Norte,False
05019,Norte,False
05020,Norte,False
05021,Norte,False
05022,Norte,False
05023,Norte,False
05024,Norte,False
05025,Norte,False
05026,Norte,False
05027,Norte,False
05028,Norte,False
05029,Norte,False
05030,Norte,False
05031,Norte,False
05032,Norte,False
05033,Norte,False
05034,Norte,False
05035,Norte,False
05036,Norte,False
05037,Norte,False
05038,Norte,False
06001,Centro-Norte,False
06002,Centro-Norte,False
06003,Centro-Norte,False
06004,Centro-Norte,False
06005,Centro-Norte,False
06006,Centro-Norte,False
06007,Centro-Norte,False
06008,Centro-Norte,False
06009,Centro-Norte,False
06010,Centro-Norte,False
07001,Sur,False
07002,Sur,False
07003,Sur,False
07004,Sur,False
07005,Sur,False
07006,Sur,False
07007,Sur,False
07008,Sur,False
07009,Sur,False
07010,Sur,False
07011,Sur,False
07012,Sur,False
07013,Sur,False
07014,Sur,False
07015,Sur,False
07016,Sur,False
07017,Sur,False
07018,Sur,False
07019,Sur,False
07020,Sur,False
07021,Sur,False
07022,Sur,False
07023,Sur,False
07024,Sur,False
07025,Sur,False
07026,Sur,False
07027,Sur,False
07028,Sur,False
07029,Sur,False
07030,Sur,False
07031,Sur,False
07032,Sur,False
07033,Sur,False
07034,Sur,False
07035,Sur,False
07036,Sur,False
07037,Sur,False
07038,Sur,False
07039,Sur,False
07040,Sur,False
07041,Sur,False
07042,Sur,False
07043,Sur,False
07044,Sur,False
07045,Sur,False
07046,Sur,False
07047,Sur,False
07048,Sur,False
07049,Sur,False
07050,Sur,False
07051,Sur,False
07052,Sur,False
07053,Sur,False
07054,Sur,False
07055,Sur,False
07056,Sur,False
07057,Sur,False
07058,Sur,False
07059,Sur,False
07060,Sur,False
07061,Sur,False
07062,Sur,False
07063,Sur,False
07064,Sur,False
07065,Sur,False
07066,Sur,False
07067,Sur,False
07068,Sur,False
07069,Sur,False
07070,Sur,False
07071,Sur,False
07072,Sur,False
