year,moran_I,p_value,n_hh,n_ll
2015,0.2573490681925354,0.001,102,235
2016,0.2248924078084578,0.001,93,171
2017,0.26869770816123884,0.001,137,655
2018,0.10615054837229256,0.001,107,272
2019,0.10898005386847971,0.001,147,274
2020,0.22201459118447694,0.001,183,443
2021,0.22397212684324,0.001,153,388
2022,0.21714983192860846,0.001,108,422
2023,0.30539067820326876,0.001,140,442
2024,0.4009822215073296,0.001,175,546
