year,status,metric,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,dominant_band,band_label,centroid_x,centroid_y
2015,total,cases,2015_total_cases_001,24,Centro,1.0,True,3,Band 3: Mid-Size,-101.095774,20.815636
2015,total,cases,2015_total_cases_002,9,Centro,0.0,False,3,Band 3: Mid-Size,-99.60704,19.3262
2015,total,cases,2015_total_cases_003,21,Centro,0.0,False,3,Band 3: Mid-Size,-99.033513,19.502547
2015,total,cases,2015_total_cases_004,9,Norte,0.0,False,3,Band 3: Mid-Size,-100.329985,25.701128
2015,total,cases,2015_total_cases_005,8,Centro-Norte,1.0,True,4,Band 4: Metropolitan,-103.426977,20.632726
2015,total,cases,2015_total_cases_006,3,Sur,0.0,False,1,Band 1: Rural,-96.687546,17.044797
2015,total,cases,2015_total_cases_007,4,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.357597,21.999684
2015,total,cases,2015_total_cases_008,4,Norte-Occidente,0.0,False,2,Band 2: Small Town,-107.94045,25.161766
2016,total,cases,2016_total_cases_001,14,Centro,1.0,True,3,Band 3: Mid-Size,-101.099914,20.918192
2016,total,cases,2016_total_cases_002,3,Sur,0.0,False,2,Band 2: Small Town,-99.748744,17.080471
2016,total,cases,2016_total_cases_003,8,Centro,0.0,False,3,Band 3: Mid-Size,-99.624468,19.312356
2016,total,cases,2016_total_cases_004,9,Centro-Norte,1.0,True,2,Band 2: Small Town,-103.332554,20.592723
2016,total,cases,2016_total_cases_005,19,Centro,0.0,False,3,Band 3: Mid-Size,-99.025978,19.508027
2016,total,cases,2016_total_cases_006,3,Norte,0.0,False,3,Band 3: Mid-Size,-100.199239,25.674306
2016,total,cases,2016_total_cases_007,3,Norte,0.0,False,3,Band 3: Mid-Size,-116.412921,32.067315
2016,total,cases,2016_total_cases_008,3,Centro,0.0,False,3,Band 3: Mid-Size,-98.296328,19.071271
2016,total,cases,2016_total_cases_009,4,Norte-Occidente,0.0,False,2,Band 2: Small Town,-107.94045,25.161766
2016,total,cases,2016_total_cases_010,3,Norte,0.0,False,3,Band 3: Mid-Size,-97.937336,22.366713
2017,total,cases,2017_total_cases_001,10,Centro,0.0,False,2,Band 2: Small Town,-99.610662,19.310133
2017,total,cases,2017_total_cases_002,9,Centro-Norte,1.0,True,2,Band 2: Small Town,-103.332554,20.592723
2017,total,cases,2017_total_cases_003,17,Centro,0.0,False,3,Band 3: Mid-Size,-99.01395,19.500921
2017,total,cases,2017_total_cases_004,3,Norte,0.0,False,3,Band 3: Mid-Size,-100.199239,25.674306
2017,total,cases,2017_total_cases_005,3,Norte,0.0,False,1,Band 1: Rural,-110.484505,27.964827
2017,total,cases,2017_total_cases_006,5,Centro-Norte,0.0,False,2,Band 2: Small Town,-104.079955,19.143843
2017,total,cases,2017_total_cases_007,3,Norte,0.0,False,3,Band 3: Mid-Size,-116.412921,32.067315
2017,total,cases,2017_total_cases_008,3,Norte,0.0,False,2,Band 2: Small Town,-97.946898,25.445213
2017,total,cases,2017_total_cases_009,3,Centro,0.0,False,3,Band 3: Mid-Size,-98.296328,19.071271
2017,total,cases,2017_total_cases_010,3,Centro-Norte,1.0,True,2,Band 2: Small Town,-102.461637,21.957385
2017,total,cases,2017_total_cases_011,3,Norte-Occidente,0.0,False,2,Band 2: Small Town,-105.254495,21.605377
