year,cluster_id,n_munis,region,pct_bajio,is_bajio_cluster,centroid_x,centroid_y
2015,2015_001,7,Norte,0.0,False,-100.093485,27.059552
2015,2015_002,30,Centro,1.0,True,-101.06704,20.774312
2015,2015_003,11,Centro-Norte,0.5455,True,-103.884279,20.993427
2015,2015_004,4,Centro,1.0,True,-100.97088,20.533255
2015,2015_005,3,Sur,0.0,False,-89.684961,20.829578
2015,2015_006,5,Centro-Norte,1.0,True,-102.34542,21.961926
2015,2015_007,4,Norte,0.0,False,-106.250139,27.48978
2015,2015_008,6,Norte,0.0,False,-106.092316,30.776588
2015,2015_009,4,Sur,0.0,False,-99.816115,18.006363
2015,2015_010,11,Sur,0.0,False,-96.707052,17.058384
2015,2015_011,3,Norte,0.0,False,-98.248967,24.428973
2016,2016_001,15,Norte,0.0,False,-98.679253,23.354832
2016,2016_002,3,Sur,0.0,False,-99.365196,17.589523
2016,2016_003,24,Norte,0.0,False,-99.335271,26.220026
2016,2016_004,3,Centro-Norte,0.0,False,-102.971144,19.844589
2016,2016_005,3,Centro-Norte,1.0,True,-102.461637,21.957385
2016,2016_006,6,Centro-Norte,0.0,False,-103.791936,19.223657
2016,2016_007,6,Norte,0.0,False,-106.092316,30.776588
2016,2016_008,3,Centro-Norte,0.0,False,-104.152633,20.064638
2016,2016_009,8,Sur,0.0,False,-96.723374,17.05549
2016,2016_010,3,Norte,0.0,False,-108.256622,27.12069
2016,2016_011,4,Norte,0.0,False,-112.70864,31.006393
2017,2017_001,36,Norte,0.0,False,-98.95156,24.924748
2017,2017_002,8,Centro-Norte,1.0,True,-102.323924,21.999339
2017,2017_003,27,Norte,0.0,False,-107.201363,29.013386
2017,2017_004,10,Sur,0.0,False,-96.734366,17.037626
2017,2017_005,9,Sur,0.0,False,-99.519823,17.95495
2017,2017_006,3,Norte,0.0,False,-109.809005,27.304568
2017,2017_007,6,Centro-Norte,0.0,False,-103.791936,19.223657
2017,2017_008,7,Centro-Norte,1.0,True,-102.412558,20.940039
2017,2017_009,16,Norte,0.0,False,-111.279319,30.684307
2018,2018_001,20,Norte,0.0,False,-99.874667,26.428812
2018,2018_002,25,Norte,0.0,False,-107.341779,29.370437
2018,2018_003,5,Centro-Norte,1.0,True,-103.693774,20.789666
2018,2018_004,3,Centro-Norte,1.0,True,-102.446537,21.5679
2018,2018_005,6,Centro-Norte,1.0,True,-102.293881,21.955247
2018,2018_006,5,Centro-Norte,0.0,False,-103.751001,19.266684
