test,slope_km_year,r_squared,p_value,total_km
Linear regression (Y),-26.57927541837141,0.4259626069995809,0.04078863654740141,-239.21347876534267
Linear regression (X),2.3321683285998027,0.003449108473643285,0.8719722602685434,20.989514957398228
Total displacement,,,,240.13256372504728
