status_id,year,month,morans_i,p_value,z_score
0,2015,1,0.14570440192787512,0.001,10.985756933874013
0,2015,2,0.13384415480128511,0.001,9.981605563077455
0,2015,3,0.13497818768419362,0.001,11.462312505451898
0,2015,4,0.08637736850205971,0.001,7.79442064004045
0,2015,5,0.0841256495931793,0.003,6.808730386978907
0,2015,6,0.07810849277047728,0.004,5.129756588080282
0,2015,7,0.07073718851657107,0.005,5.479336596784074
0,2015,8,0.07798715013687088,0.005,5.491075625956169
0,2015,9,0.09428250147550704,0.003,6.915493884284995
0,2015,10,0.07076997047567657,0.002,6.626028912696489
0,2015,11,0.09252659057893109,0.003,6.890533246113808
0,2015,12,0.03681584678565079,0.023,2.8644388591974006
0,2016,1,0.11324734297891285,0.001,8.638463575320488
0,2016,2,0.08303909545409746,0.002,5.907927632277929
0,2016,3,0.04714233275985449,0.006,3.3734975319525202
0,2016,4,0.03465722908701943,0.027,2.6937405660341045
0,2016,5,0.04659513424110907,0.007,3.9373303291068966
0,2016,6,0.05165649740362231,0.009,4.361989471201107
0,2016,7,0.06462888814998678,0.004,5.27952877232293
0,2016,8,0.04610674162070777,0.008,3.922524611187479
0,2016,9,0.09117068876449191,0.001,7.085023653064092
0,2016,10,0.09891790051889816,0.001,7.770636295708881
0,2016,11,0.07320809398121798,0.003,5.496537011888677
0,2016,12,0.08713663708073512,0.002,6.44051501842789
0,2017,1,0.16487731163779407,0.001,13.48475964628
0,2017,2,0.1477988949114993,0.001,11.26990261803685
0,2017,3,0.050528592649491694,0.009,4.0831194379794145
0,2017,4,0.06916051249754425,0.004,4.839167835606517
0,2017,5,0.046713765568302305,0.015,3.369375010000019
0,2017,6,0.052078608459786874,0.009,4.2902275958795375
0,2017,7,0.0871477053475111,0.001,6.84100865304844
0,2017,8,0.07491987063134106,0.004,5.18571228288991
0,2017,9,0.05064961082792863,0.008,4.034923643959094
0,2017,10,0.06544643555485546,0.003,4.976655315613344
0,2017,11,0.055805066456491206,0.005,4.361296901048445
0,2017,12,0.09944706887350639,0.001,7.934366143526162
0,2018,1,0.06414475595933015,0.004,5.142210565382101
0,2018,2,0.05741319194679126,0.009,4.132199945235592
0,2018,3,0.047222789269459914,0.008,3.8282371079809634
0,2018,4,0.05605997527948105,0.003,4.703559070798971
0,2018,5,0.031605326801388,0.028,2.7493278153064455
0,2018,6,0.04128036853193339,0.012,3.7250286800440873
0,2018,7,0.04684844093641677,0.014,3.7670206317032835
0,2018,8,0.06211394587256066,0.004,5.401433622199695
0,2018,9,0.05727033658169504,0.01,3.9587807428215496
0,2018,10,0.07386678618895717,0.007,4.714359255821142
0,2018,11,0.08046561995697406,0.001,6.985870104154615
0,2018,12,0.17155355848490758,0.001,12.078778065580142
0,2019,1,0.22386267177847932,0.001,17.19118475133003
0,2019,2,0.28110734551870137,0.001,24.011204883987542
0,2019,3,0.2968682494687268,0.001,21.7608130925588
0,2019,4,0.2661670301780157,0.001,19.65131870278779
0,2019,5,0.27986049086769865,0.001,19.021885322257894
0,2019,6,0.30548115968191614,0.001,22.44233024744052
0,2019,7,0.26472920068324207,0.001,20.038533790798326
0,2019,8,0.19642290968007986,0.001,16.46270543682563
0,2019,9,0.2992785572660289,0.001,23.39548137324816
0,2019,10,0.2879791335540381,0.001,21.62356864581927
0,2019,11,0.31854211443876657,0.001,23.33779933144682
0,2019,12,0.328618147181612,0.001,24.05819366491249
0,2020,1,0.3428478407653501,0.001,25.949915514042075
0,2020,2,0.3484032510410019,0.001,28.056517463864814
0,2020,3,0.3255753369233584,0.001,26.95642493845683
0,2020,4,0.3176052509603778,0.001,22.311900902122943
0,2020,5,0.2722057448964185,0.001,21.48046076381764
0,2020,6,0.2650244157963178,0.001,18.654229769166847
0,2020,7,0.3163275039062068,0.001,22.72425443958597
0,2020,8,0.3489513880723399,0.001,27.451404331895148
0,2020,9,0.3157086229701724,0.001,23.953521063178908
0,2020,10,0.32410591200445915,0.001,23.738825012336164
0,2020,11,0.3822856890632197,0.001,28.240423538041092
0,2020,12,0.25448789213849354,0.001,19.688421867192105
0,2021,1,0.2254607886598077,0.001,15.796331469394884
0,2021,2,0.28593912556995243,0.001,21.366056801336725
0,2021,3,0.2814115979792715,0.001,17.41260447550356
0,2021,4,0.2783618038188366,0.001,22.740487617161225
0,2021,5,0.2971040181832343,0.001,22.593989435036832
0,2021,6,0.2579123321939395,0.001,20.28744889942575
0,2021,7,0.2350997951304039,0.001,17.790527252328264
0,2021,8,0.2478356909420682,0.001,17.681426265797285
0,2021,9,0.227312890787296,0.001,16.72987116824117
0,2021,10,0.2384310576706385,0.001,20.715597967470117
0,2021,11,0.2770470418761289,0.002,16.666156180225155
0,2021,12,0.261617631305243,0.001,19.592986796164006
0,2022,1,0.2310832251209573,0.001,17.53463486532748
0,2022,2,0.22463700628941002,0.001,17.00432547531604
0,2022,3,0.21705284265884248,0.001,17.39603858465525
0,2022,4,0.20566899240695957,0.001,14.526789260580456
0,2022,5,0.25275301351720836,0.001,19.052940592899855
0,2022,6,0.2581105220701964,0.001,19.1734335948384
0,2022,7,0.23749325632819232,0.001,17.481771830464428
0,2022,8,0.23670758141336007,0.001,18.84989087932501
0,2022,9,0.19777823154484256,0.001,14.631886824749207
0,2022,10,0.2485639941362282,0.001,19.29750475334434
0,2022,11,0.2684736660154848,0.001,19.554850849193695
0,2022,12,0.34760023075364554,0.001,25.278211567762476
0,2023,1,0.19726107234716972,0.001,14.184926223094594
0,2023,2,0.19238202596647516,0.001,14.433420199712145
0,2023,3,0.20570585137289257,0.001,15.345797045130947
0,2023,4,0.25566503077724306,0.001,19.45114266019231
0,2023,5,0.20592288510845894,0.001,15.859102401946318
0,2023,6,0.2501167573134305,0.001,18.65972382428663
0,2023,7,0.2520926128633701,0.001,19.70775552170261
0,2023,8,0.24507174955941566,0.001,17.6825093793854
0,2023,9,0.2407112727899795,0.001,15.167120455950146
0,2023,10,0.26261307375626,0.001,18.63737750281143
0,2023,11,0.29187467365740405,0.001,23.866166579878378
0,2023,12,0.23333130139560868,0.001,18.352026258160716
0,2024,1,0.20971925883084594,0.001,15.79099094986236
0,2024,2,0.20280671696618116,0.001,15.190078108141197
0,2024,3,0.1844901847893075,0.001,13.832442028409432
0,2024,4,0.17999377065390468,0.001,13.663978823809869
0,2024,5,0.22593328588793699,0.001,15.58110957668242
0,2024,6,0.21879291796316902,0.001,15.344851179434299
0,2024,7,0.21557912994231124,0.001,15.967168423723189
0,2024,8,0.2127740880851489,0.001,15.643580055080601
0,2024,9,0.1956677237768899,0.001,14.59018670592205
0,2024,10,0.20724311597264553,0.001,14.988624598184572
0,2024,11,0.21990374412624542,0.001,16.74929085542468
0,2024,12,0.21364131865888988,0.001,14.049196686441183
0,2025,1,0.18372256958602703,0.001,14.717725751385611
0,2025,2,0.2234807580983557,0.001,15.67308681651945
0,2025,3,0.2298045153967622,0.001,17.558891607621543
0,2025,4,0.2400501286553815,0.001,17.130829709449177
0,2025,5,0.21938332844516936,0.001,16.621791402905714
0,2025,6,0.24669120029315872,0.001,19.026009502092787
0,2025,7,0.2091400001106561,0.001,16.614880261226304
0,2025,8,0.2631428739112984,0.001,19.125972377025132
0,2025,9,0.29750752265868535,0.001,21.429287566817937
0,2025,10,0.2432885907839414,0.001,18.353614051257562
0,2025,11,0.2523174949188009,0.001,18.751304171381722
0,2025,12,0.22327042911395456,0.001,16.62878743059174
2,2015,1,0.1255994356940666,0.002,9.60966569000842
2,2015,2,0.14049325840839755,0.001,10.28781949373209
2,2015,3,0.10941425536693374,0.002,8.518381641884446
2,2015,4,0.09357647719406781,0.001,7.5544214121829105
2,2015,5,0.07755378098716,0.003,6.469184458365572
2,2015,6,0.0666484350748786,0.004,5.504206243833065
2,2015,7,0.07077780664666658,0.006,4.306821459601904
2,2015,8,0.08372835265377893,0.003,7.269854133873266
2,2015,9,0.10357153017101833,0.001,9.288865213021037
2,2015,10,0.07248500334664552,0.003,6.662620568611517
2,2015,11,0.10570066765898466,0.001,9.282430252167208
2,2015,12,0.026323812414572177,0.029,2.8338998553054005
2,2016,1,0.12389566316160991,0.001,8.2583580377231
2,2016,2,0.0905758570383963,0.001,7.532696687089684
2,2016,3,0.03729819867086504,0.019,3.111192241088966
2,2016,4,0.02180359537315911,0.043,1.431305702375743
2,2016,5,0.02951553986513363,0.024,2.622441744926711
2,2016,6,0.039863774852680924,0.013,3.604050251525509
