task,check,observed,expected,verdict,note
2.9,nl_counterfactual_28_of_85,0.33,0.33,PASS,"if female set = 85, shared fraction = 28/85 = 33%"
2.10,ced_slope_Estado de México_nl,2.364,2.36,PASS,p=0.0 (expected p<0.001)
2.10,ced_slope_Estado de México_la,1.812,1.81,PASS,p=0.0002 (expected p<0.001)
2.10,ced_slope_Nuevo León_la,1.342,1.34,PASS,p=0.0 (expected p<0.001)
2.10,ced_slope_Nuevo León_ld,0.795,0.8,QUAL,p=0.0 (expected p<0.001)
2.10,ced_slope_Guanajuato_nl,0.752,0.75,PASS,p=0.0013 (expected p<0.001)
2.10,ced_slope_Guanajuato_la,-0.566,-0.57,QUAL,p=0.3999 (expected p<0.001)
2.10,jalisco_total_registrations_2021,3824,3825,FAIL,
2.10,jalisco_total_registrations_2024,213,216,FAIL,
2.10,jalisco_total_active_munis_2021,102,103,FAIL,
2.10,jalisco_total_active_munis_2024,39,41,FAIL,
2.11,spearman_range_min,0.227,,N/A,manuscript: 0.227 to 0.607
2.11,spearman_range_max,0.607,,N/A,manuscript: 0.227 to 0.607
2.11,spearman_all_positive,True,True,PASS,
2.13,vawri_rb_min,0.81,,N/A,manuscript: 0.76–0.96
2.13,vawri_rb_max,0.89,,N/A,manuscript: 0.76–0.96
2.13,vawri_rb_all_in_range,True,True,PASS,all should be ≥0.70 (manuscript says 0.76–0.96)
